dataset,backend,N,seed,attack,policy,gate_bypass_rate,gate_bypass_n,gate_bypass_ub95,semantic_far,conditional_unsafe,accept_rate,mean_set_size,singleton_frac,coverage,top1_acc
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,signed,0.0,2176,0.0013786764705882354,0.204767,0.226661,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A3_evidence_mismatch,pcsp,0.0,2176,0.0013786764705882354,0.204767,0.226661,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A4_epoch_rollback,raw,1.0,2176,,0.226163,0.226163,1.0,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A4_epoch_rollback,semantic,0.0,2176,0.0013786764705882354,0.204679,0.226562,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A4_epoch_rollback,signed,0.0,2176,0.0013786764705882354,0.204679,0.226562,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,3,A4_epoch_rollback,pcsp,0.0,2176,0.0013786764705882354,0.204679,0.226562,0.903409,3.423,0.1122,0.9997,0.7739
nslkdd,ML-DSA-65,128,4,A1_replay,raw,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A1_replay,semantic,0.0,2176,0.0013786764705882354,0.210938,0.233491,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A1_replay,signed,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A1_replay,pcsp,0.0,2176,0.0013786764705882354,0.210938,0.233491,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A2_model_sub,raw,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A2_model_sub,semantic,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A2_model_sub,signed,0.0,2176,0.0013786764705882354,0.209872,0.232311,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A2_model_sub,pcsp,0.0,2176,0.0013786764705882354,0.209872,0.232311,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,raw,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,semantic,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,signed,0.0,2176,0.0013786764705882354,0.212225,0.234915,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A3_evidence_mismatch,pcsp,0.0,2176,0.0013786764705882354,0.212225,0.234915,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A4_epoch_rollback,raw,1.0,2176,,0.233487,0.233487,1.0,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A4_epoch_rollback,semantic,0.0,2176,0.0013786764705882354,0.209739,0.232164,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A4_epoch_rollback,signed,0.0,2176,0.0013786764705882354,0.209739,0.232164,0.903409,3.255,0.1111,0.9986,0.7666
nslkdd,ML-DSA-65,128,4,A4_epoch_rollback,pcsp,0.0,2176,0.0013786764705882354,0.209739,0.232164,0.903409,3.255,0.1111,0.9986,0.7666
cicids,ML-DSA-65,128,0,A1_replay,raw,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A1_replay,semantic,0.0,3968,0.0007560483870967742,0.001177,0.001307,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A1_replay,signed,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A1_replay,pcsp,0.0,3968,0.0007560483870967742,0.001177,0.001307,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A2_model_sub,raw,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A2_model_sub,semantic,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A2_model_sub,signed,0.0,3968,0.0007560483870967742,0.001227,0.001362,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A2_model_sub,pcsp,0.0,3968,0.0007560483870967742,0.001227,0.001362,0.900641,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,raw,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
cicids,ML-DSA-65,128,0,A3_evidence_mismatch,semantic,1.0,3968,,0.001277,0.001277,1.0,4.146,0.1033,1.0,0.9987
